title,address,link
ديما ستور,"5 Momtaz Basha, As Soyouf Qebli (Include Izbat Derbanah), Montaza 2, Alexandria Governorate 5516002",https://www.google.com/maps/place/%D8%AF%D9%8A%D9%85%D8%A7+%D8%B3%D8%AA%D9%88%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14f5dbfb03450415:0x8b32fcc285c8608b!8m2!3d31.2441125!4d29.9838594!16s%2Fg%2F11m1zw7xsn!19sChIJFQRFA_vb9RQRi2DIhcL8Mos?authuser=0&hl=en&rclk=1
Cozy house,"6XVF+C7X, Al Qasaei Bahri, El Raml 2, Alexandria Governorate 5450382",https://www.google.com/maps/place/Cozy+house/data=!4m7!3m6!1s0x14f5c5f8cb0a53bb:0x6031ba957cce0350!8m2!3d31.243512!4d29.9732418!16s%2Fg%2F11p_1h_vg1!19sChIJu1MKy_jF9RQRUAPOfJW6MWA?authuser=0&hl=en&rclk=1
البطل,43 الاستوديو، دنا الجديدة وعزبة الوسطان، قسم الرمل، الإسكندرية،,https://www.google.com/maps/place/%D8%A7%D9%84%D8%A8%D8%B7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f5db3d7fed9845:0x1e32aecae82de014!8m2!3d31.2378526!4d29.986233!16s%2Fg%2F11lptdt8_c!19sChIJRZjtfz3b9RQRFOAt6MquMh4?authuser=0&hl=en&rclk=1
فكهانى العمده El Omda for frutes,"6XRP+8M4, Dana Al Gadidah WA Izbat Al Westaneyah, El Raml 2, Alexandria Governorate 5448641",https://www.google.com/maps/place/%D9%81%D9%83%D9%87%D8%A7%D9%86%D9%89+%D8%A7%D9%84%D8%B9%D9%85%D8%AF%D9%87+El+Omda+for+frutes%E2%80%AD/data=!4m7!3m6!1s0x14f5db1e7e15db2d:0x939b49f8241887f5!8m2!3d31.2407688!4d29.9867011!16s%2Fg%2F11l86ws3pm!19sChIJLdsVfh7b9RQR9YcYJPhJm5M?authuser=0&hl=en&rclk=1
Alex City Mall1,"El Eman St, Al Agamy Al Bahri, Dekhela, Alexandria Governorate 5313601",https://www.google.com/maps/place/Alex+City+Mall1/data=!4m7!3m6!1s0x14f594c73aed5c39:0x7228209dff87df15!8m2!3d31.099927!4d29.772375!16s%2Fg%2F11bwgk3x7b!19sChIJOVztOseU9RQRFd-H_50gKHI?authuser=0&hl=en&rclk=1
Nail shop,"6XW9+52W, San Stefano, El Raml 1, Alexandria Governorate 5452053",https://www.google.com/maps/place/Nail+shop/data=!4m7!3m6!1s0x14f5c5349e17d29f:0x709310887829578b!8m2!3d31.2454887!4d29.9675784!16s%2Fg%2F11k0klb71n!19sChIJn9IXnjTF9RQRi1cpeIgQk3A?authuser=0&hl=en&rclk=1
Americana Plaza,"6W29+2FQ, Bab Sharqi WA Wabour Al Meyah, Bab Sharqi, Alexandria Governorate 5422015",https://www.google.com/maps/place/Americana+Plaza/data=!4m7!3m6!1s0x14f5c37df53ca7fb:0x719e04db6b1f2439!8m2!3d31.2000924!4d29.9187387!16s%2Fg%2F11lgslvgl3!19sChIJ-6c89X3D9RQROSQfa9sEnnE?authuser=0&hl=en&rclk=1
Alexa Tower,"59 شارع صفية زغلول،, Al Mesallah Sharq, Al Attarin, Alexandria Governorat",https://www.google.com/maps/place/Alexa+Tower/data=!4m7!3m6!1s0x14f5c39e7e169fe3:0xb65c569e8a9f590!8m2!3d31.1995432!4d29.9017569!16s%2Fg%2F11h9424c1w!19sChIJ458Wfp7D9RQRkPWp6GnFZQs?authuser=0&hl=en&rclk=1
Carpet City Mall,24بيلوزلاجيتيه الإبراهيمية ، قسم باب شرقي،، Alexandria Governorat,https://www.google.com/maps/place/Carpet+City+Mall/data=!4m7!3m6!1s0x14f5c47d42cf9ecd:0x47bb431c82c9c180!8m2!3d31.2136843!4d29.9270291!16s%2Fg%2F1vx7bw51!19sChIJzZ7PQn3E9RQRgMHJghxDu0c?authuser=0&hl=en&rclk=1
Carrefour,"17 Ibn Al Nadim, Abu an Nawatir, El Raml 1, Alexandria Governorate 21531",https://www.google.com/maps/place/Carrefour/data=!4m7!3m6!1s0x14f5c5141e96ac77:0x7c6678fcce30ef14!8m2!3d31.2292055!4d29.9567577!16s%2Fg%2F11j_x192cs!19sChIJd6yWHhTF9RQRFO8wzvx4Znw?authuser=0&hl=en&rclk=1
مول المدار Almadar Mall,7224+6MW، سيدي بشر قبلي،، قسم ثان المنتزة،، Alexandria Governorate 5516401,https://www.google.com/maps/place/%D9%85%D9%88%D9%84+%D8%A7%D9%84%D9%85%D8%AF%D8%A7%D8%B1+Almadar+Mall%E2%80%AD/data=!4m7!3m6!1s0x14f5db421698374f:0xba3b89ab278649a3!8m2!3d31.250619!4d30.0067109!16s%2Fg%2F11n0gppp65!19sChIJTzeYFkLb9RQRo0mGJ6uJO7o?authuser=0&hl=en&rclk=1
